title,glass,garnish,recipe,ingredients,raw_ingredients
Cuppa Joe,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Espresso coffee (freshly made & hot)'], ['3 cl', 'Hazelnut liqueur']]","[['3 cl', 'vodka'], ['3 cl', 'espresso coffee'], ['3 cl', 'hazelnut liqueur']]"
Curdish Cocktail,Martini glass,Lemon zest twist,"STIR lemon curd with gin in base of shaker until curd dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['6 cl', 'Rutte Dry Gin'], ['2 spoon', 'Lemon curd'], ['1.5 cl', 'Sour apple liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]","[['6 cl', 'gin'], ['2 spoon', 'lemon curd'], ['1.5 cl', 'sour apple liqueur'], ['1.5 cl', 'lime juice']]"
Custard Tart,Shot glass,Physalis (cape gooseberry),"MUDDLE physalis fruits in base of shaker. Add other ingredients, SHAKE with ice and strain.","[['3 fresh', 'Physalis fruits'], ['2.25 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Warninks Advocaat liqueur'], ['1.5 cl', 'Peachtree peach schnapps'], ['0.75 cl', 'Lime juice (freshly squeezed)']]","[['3 fresh', 'physalis fruits'], ['2.25 cl', 'white rum'], ['1.5 cl', 'warninks advocaat liqueur'], ['1.5 cl', 'peachtree peach schnapps'], ['0.75 cl', 'lime juice']]"
Absinthe Cocktail (Jerry Thomas),Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'La Fée Parisienne absinthe'], ['0.75 cl', 'Anisette liqueur'], ['1 dash', 'Angostura Aromatic Bitters'], ['4.5 cl', 'Chilled water (reduce if wet ice)']]","[['3 cl', 'absinthe'], ['0.75 cl', 'anisette liqueur'], ['1 dash', 'angostura'], ['4.5 cl', 'chilled water']]"
Absinthe Drip Cocktail (French method),Absinthe glass or old-fashioned glass,None,"POUR absinthe into glass. PLACE cube of sugar on a slotted absinthe spoon resting across the top of the glass. Using an absinthe fountain (or a bottle of chilled mineral water with a small hole in the cap), DRIP iced water over the sugar so it dissolves and drips into the glass. Traditionally the same amount of water is added as absinthe, but full-strength absinthe requires more dilution - Keep dripping until absinthe louches (turns milky white). Add ice, stir and serve.","[['4.5 cl', 'La Fée Parisienne absinthe'], ['6 cl', 'Chilled water'], ['1 cube', 'Sugar cube']]","[['4.5 cl', 'absinthe'], ['6 cl', 'chilled water'], ['1 cube', 'sugar cube']]"
Absinthe Drip Cocktail (Czech method),Absinthe glass or old-fashioned glass,None,"PLACE sugar cube on a slotted absinthe spoon resting across the top of the glass. POUR the absinthe over the sugar cube into the glass. LIGHT the absinthe soaked cube and leave to burn and caramelise. Using a bottle of chilled mineral water with a small hole in the cap, DRIP water over what's left of the sugar so it dissolves and drips into the glass. Add ice, stir and serve.","[['4.5 cl', 'La Fée Parisienne absinthe'], ['6 cl', 'Chilled water'], ['1 cube', 'White caster sugar']]","[['4.5 cl', 'absinthe'], ['6 cl', 'chilled water'], ['1 cube', 'white sugar']]"
Absinthe Italiano Cocktail,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Anisette liqueur'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['4.5 cl', 'Chilled water (reduce if wet ice)']]","[['3 cl', 'absinthe'], ['1.5 cl', 'anisette liqueur'], ['0.75 cl', 'maraschino'], ['4.5 cl', 'chilled water']]"
Absinthe Special Cocktail,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'La Fée Parisienne absinthe'], ['0.75 cl', 'Rutte Dry Gin'], ['0.75 cl', 'Anisette liqueur'], ['2 dash', 'Angostura Aromatic Bitters'], ['1 dash', 'Orange Bitters by Angostura'], ['4.5 cl', 'Chilled water (reduce if wet ice)']]","[['3 cl', 'absinthe'], ['0.75 cl', 'gin'], ['0.75 cl', 'anisette liqueur'], ['2 dash', 'angostura'], ['1 dash', 'angostura'], ['4.5 cl', 'chilled water']]"
Adelaide Swizzle,Collins glass,Lime slice,POUR ingredients into chilled glass and half fill with crushed ice. SWIZZLE with a swizzle stick (or churn with a barspoon). Add more crushed ice to fill and SWIZZLE some more. Serve with straws.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['2.25 cl', ""Difford's Falernum liqueur""], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]","[['6 cl', 'white rum'], ['2.25 cl', 'falernum liqueur'], ['1.5 cl', 'lime juice'], ['2 dash', ""peychaud's bitter""]]"
Adios Amigos Cocktail,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","[['3 cl', 'white rum'], ['1.5 cl', 'cognac'], ['1.5 cl', 'gin'], ['1.5 cl', 'dry vermouth'], ['0.75 cl', 'lime juice'], ['0.75 cl', 'sugar syrup'], ['1.5 cl', 'chilled water']]"
Aku Aku,Coupe glass,"Pineapple wedge, Luxardo Maraschino cherry and mint sprig",BLEND all ingredients with a small scoop of crushed ice and fine strain into glass (push through sieve using back of a bar spoon).,"[['3 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Peachtree peach schnapps'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['10 fresh', 'Mint leaves']]","[['3 cl', 'white rum'], ['1.5 cl', 'peachtree peach schnapps'], ['4.5 cl', 'pineapple juice'], ['1.5 cl', 'sugar syrup'], ['2.25 cl', 'lime juice'], ['10 fresh', 'mint leaves']]"
Alaska (Straub's 1914 recipe),Coupe glass,Orange zest twist,STIR all the ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Portobello Old Tom gin'], ['2.25 cl', 'Yellow Chartreuse liqueur'], ['1 dash', 'Orange Bitters by Angostura'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['4.5 cl', 'gin'], ['2.25 cl', 'yellow chartreuse liqueur'], ['1 dash', 'angostura'], ['1 cl', 'chilled water']]"
Alfonso Martini,Martini glass,Orange zest twist,STIR all ingredients with ice and fine strain into chilled glass.,"[['2.5 cl', 'Rutte Dry Gin'], ['2.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'Martini Rosso sweet vermouth'], ['2 dash', 'Angostura Aromatic Bitters'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['2.5 cl', 'gin'], ['2.5 cl', 'cognac'], ['1.5 cl', 'dry vermouth'], ['0.75 cl', 'red vermouth'], ['2 dash', 'angostura'], ['1 cl', 'chilled water']]"
Algeria,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'BarSol Mosto Verde Italia Pisco'], ['1 cl', 'De Kuyper Triple Sec (40%)'], ['1 cl', 'De Kuyper Apricot Brandy liqueur'], ['2 cl', 'Orange juice (freshly squeezed)'], ['0.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Orange Bitters by Angostura']]","[['5 cl', 'barsol mosto verde italia pisco'], ['1 cl', 'triple sec'], ['1 cl', 'apricot brandy liqueur'], ['2 cl', 'orange juice'], ['0.25 cl', 'sugar syrup'], ['1 dash', 'angostura']]"
Allegrottini,Martini glass,Orange zest twist,SHAKE all the ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Ketel One Citroen Vodka'], ['2.25 cl', 'Ketel One Vodka'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Martini Bianco vermouth'], ['0.75 cl', 'Lime juice (freshly squeezed)']]","[['2.25 cl', 'vodka'], ['2.25 cl', 'vodka'], ['2.25 cl', 'triple sec'], ['2.25 cl', 'orange juice'], ['0.75 cl', 'bianco vermouth'], ['0.75 cl', 'lime juice']]"
Alien Secretion,Collins glass,Pineapple wedge & Luxardo Maraschino cherry,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Ketel One Vodka'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['9 cl', 'Pineapple juice (fresh pressed)']]","[['6 cl', 'vodka'], ['1.5 cl', 'green melon liqueur'], ['1.5 cl', 'coconut rum liqueur'], ['9 cl', 'pineapple juice']]"
American Beauty (by Trader Vic),Martini glass,Mint leaf,SHAKE first five ingredients with ice and fine strain into chilled glass. Use the back of a soup spoon to FLOAT port over drink.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'Giffard Menthe Pastille white crème de menthe'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Grenadine syrup'], ['1.5 cl', 'Tawny port']]","[['3 cl', 'cognac'], ['3 cl', 'dry vermouth'], ['0.75 cl', 'giffard menthe pastille white crème de menthe'], ['3 cl', 'orange juice'], ['1.5 cl', 'giffard grenadine syrup'], ['1.5 cl', 'tawny port']]"
Amsterdam Cocktail,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Old Simon Genever'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['2 dash', 'Orange Bitters by Angostura']]","[['4.5 cl', 'rutte old simon genever'], ['2.25 cl', 'triple sec'], ['2.25 cl', 'orange juice'], ['2 dash', 'angostura']]"
Angel Face,Coupe glass,"Orange zest twist, or apple wedge on rim, or float (dehydrated) apple slice",STIR all ingredients with ice and fine strain into a chilled glass.,"[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'Avallen Calvados'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['3 cl', 'gin'], ['3 cl', 'calvados'], ['3 cl', 'apricot brandy liqueur'], ['1 cl', 'chilled water']]"
Angel's Share No.1,Martini glass,Orange zest twist,"STIR heaped spoon of orange marmalade with cognac in base of shaker until marmalade dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 spoon', 'Orange marmalade'], ['6 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Licor 43 Original liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['1 spoon', 'orange marmalade'], ['6 cl', 'cognac'], ['0.75 cl', 'gin'], ['1.5 cl', 'lemon juice'], ['0.75 cl', 'sugar syrup']]"
Angel's Share No.2,Snifter glass,None,"POUR the Chartreuse into glass and coat the inside of the glass with the liqueur by tilting and rotating it. DISCARD excess liqueur. Carefully set the liqueur on the inside of the glass alight and allow it to BURN for a few seconds. Extinguish flame by placing a saucer over the glass, add other ingredients and SWIRL to mix. Beware of hot glass rim.","[['0.75 cl', 'Green Chartreuse liqueur'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Nocello walnut liqueur'], ['1.5 cl', 'Tawny port']]","[['0.75 cl', 'green chartreuse liqueur'], ['4.5 cl', 'cognac'], ['2.25 cl', 'nocello walnut liqueur'], ['1.5 cl', 'tawny port']]"
Ante,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Avallen Calvados'], ['2 cl', 'Dubonnet Red'], ['1 cl', 'De Kuyper Triple Sec (40%)'], ['1 dash', 'Angostura Aromatic Bitters']]","[['5 cl', 'calvados'], ['2 cl', 'dubonnet red'], ['1 cl', 'triple sec'], ['1 dash', 'angostura']]"
Apple & Elderflower Cocktail,Martini glass,Apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5.25 cl', 'Ketel One Vodka'], ['3 cl', 'St-Germain elderflower liqueur'], ['3.75 cl', 'Apple juice']]","[['5.25 cl', 'vodka'], ['3 cl', 'st-germain elderflower liqueur'], ['3.75 cl', 'apple juice']]"
Apple Blossom Cocktail,Coupe glass,Apple wedge on rim or float dehydrated apple slice,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Avallen Calvados'], ['5 cl', 'Martini Rosso sweet vermouth'], ['2 dash', 'Orange Bitters by Angostura']]","[['5 cl', 'calvados'], ['5 cl', 'red vermouth'], ['2 dash', 'angostura']]"
Apple Manhattan #2,Martini glass,Apple wedge,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Bourbon whiskey'], ['2.25 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Martini Rosso sweet vermouth']]","[['6 cl', 'bourbon whiskey'], ['2.25 cl', 'schnapps'], ['0.75 cl', 'triple sec'], ['1.5 cl', 'red vermouth']]"
The Argyll,Martini glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['3 cl', 'Martini Rosso sweet vermouth'], ['1 dash', 'Orange Bitters by Angostura']]","[['6 cl', 'southern usa-style liqueur 40%'], ['3 cl', 'red vermouth'], ['1 dash', 'angostura']]"
Armillita Chico,Martini (large 10oz) glass,Lime wedge,BLEND all ingredients with 12oz scoop crushed ice.,"[['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Giffard Grenadine syrup'], ['2 dash', 'Orange flower/blossom water']]","[['6 cl', 'tequila'], ['3 cl', 'lime juice'], ['1.5 cl', 'giffard grenadine syrup'], ['2 dash', 'orange flower/blossom water']]"
Army & Navy,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.25 cl', 'Giffard Orgeat Syrup'], ['1 dash', 'Angostura Aromatic Bitters']]","[['6 cl', 'gin'], ['1.5 cl', 'lemon juice'], ['1.25 cl', 'giffard orgeat syrup'], ['1 dash', 'angostura']]"
Asylum Cocktail,Old-fashioned glass,None,POUR ingredients into glass without ice and STIR. Gently add ice and do NOT stir again. Consume once drink has turned cloudy.,"[['4.5 cl', 'Rutte Dry Gin'], ['4.5 cl', 'Pernod anise'], ['0.75 cl', 'Giffard Grenadine syrup']]","[['4.5 cl', 'gin'], ['4.5 cl', 'pernod anise'], ['0.75 cl', 'giffard grenadine syrup']]"
The Atty Cocktail,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['2 cl', 'Martini Extra Dry vermouth'], ['0.125 cl', 'Crème de violette liqueur'], ['0.125 cl', 'La Fée Parisienne absinthe']]","[['6 cl', 'gin'], ['2 cl', 'dry vermouth'], ['0.125 cl', 'crème de violette liqueur'], ['0.125 cl', 'absinthe']]"
Aviation Cocktail (Savoy spec.),Coupe glass,Luxardo Maraschino cherry (& optional sugar rim),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['5.25 cl', 'gin'], ['2.25 cl', 'maraschino'], ['1.5 cl', 'lemon juice'], ['1 cl', 'chilled water']]"
Bahia,Collins glass,"Pineapple wedge, Luxardo Maraschino cherry & mint sprig",BLEND all ingredients with 6oz scoop crushed ice and serve with straws.,"[['7.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', ""Cream of coconut (e.g. Coco Lopez, Re'al etc.)""], ['9 cl', 'Pineapple juice (fresh pressed)']]","[['7.5 cl', 'white rum'], ['1.5 cl', 'cream of coconut'], ['9 cl', 'pineapple juice']]"
Bajan Daiquiri,Coupe glass,Lime wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', ""Difford's Falernum liqueur""], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 spoon', 'Powdered sugar (ground in mortar and pestle) (optional)'], ['1 cl', 'Chilled water']]","[['5 cl', 'white rum'], ['1.5 cl', 'falernum liqueur'], ['1.5 cl', 'lime juice'], ['1 spoon', 'white sugar'], ['1 cl', 'chilled water']]"
Banana Cow,Collins glass,Banana chunk,BLEND all ingredients with 12oz scoop crushed ice and serve with straws.,"[['3 cl', 'Bacardi Carta Blanca light rum'], ['9 cl', 'Milk (whole milk/full 3-4% fat)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1 dash', 'Vanilla extract'], ['1 fresh', 'Banana (fresh)']]","[['3 cl', 'white rum'], ['9 cl', 'milk'], ['1.5 cl', 'sugar syrup'], ['1 dash', 'angostura'], ['1 dash', 'vanilla extract'], ['1 fresh', 'banana']]"
Barranquilla Green Jade,Martini glass,Luxardo Maraschino cherry & mint sprig,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Giffard Peppermint Pastille crème de menthe'], ['1.5 cl', 'Single cream / half-and-half'], ['1.5 cl', 'Milk (semi-skimmed/2% fat)'], ['1.5 cl', 'Pasteurised egg white']]","[['6 cl', 'gin'], ['3 cl', 'giffard peppermint pastille crème de menthe'], ['1.5 cl', 'single cream / half-and-half'], ['1.5 cl', 'milk'], ['1.5 cl', 'egg white']]"
Basil Gimlet,Coupe glass,Lime zest twist (discarded) & basil leaf,"MUDDLE basil in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['6 fresh', 'Basil leaves'], ['6 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Lime cordial (sweetened lime juice)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 fresh', 'basil leaves'], ['6 cl', 'gin'], ['2.25 cl', 'lime cordial'], ['1.5 cl', 'lime juice'], ['0.5 cl', 'sugar syrup']]"
Basilian,Collins glass,Lime slice & basil leaf,"MUDDLE cucumber and basil in base of shaker. Add next four ingredients, SHAKE with ice and fine strain into ice-filled glass. TOP with ginger ale.","[['1 inch', 'Cucumber (fresh)'], ['5 fresh', 'Basil leaves'], ['6 cl', 'Novo Fogo Silver cachaça'], ['2.25 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Thomas Henry Ginger Ale']]","[['1 inch', 'cucumber'], ['5 fresh', 'basil leaves'], ['6 cl', 'cachaça'], ['2.25 cl', 'cognac'], ['1.5 cl', 'lime juice'], ['0.75 cl', 'sugar syrup'], ['Top up with', 'gin']]"
Batanga,Collins glass,Salt rim,STIR salt with lime juice in base of glass to dissolve salt. Add ice and other ingredients and briefly stir.,"[['1 pinch', 'Salt'], ['1.25 cl', 'Lime juice (freshly squeezed)'], ['6 cl', 'Patrón Silver blanco tequila'], ['10.5 cl', 'Cola (e.g. Coca Cola & Pepsi Cola)']]","[['1 pinch', 'salt'], ['1.25 cl', 'lime juice'], ['6 cl', 'tequila'], ['10.5 cl', 'cola']]"
Bensonhurst,Coupe glass,Luxardo Maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['1 cl', 'Luxardo Maraschino liqueur'], ['3 cl', 'Martini Extra Dry vermouth'], ['0.5 cl', 'Cynar or other carciofo amaro']]","[['4.5 cl', 'rye whiskey'], ['1 cl', 'maraschino'], ['3 cl', 'dry vermouth'], ['0.5 cl', 'cynar or other carciofo amaro']]"
Bermuda Cocktail,Coupe glass,Orange zest twist &/or peach wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Peachtree peach schnapps'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup']]","[['6 cl', 'gin'], ['1.5 cl', 'peachtree peach schnapps'], ['1.5 cl', 'orange juice'], ['0.75 cl', 'giffard grenadine syrup']]"
Bermuda Rose Cocktail,Martini glass,Apricot slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.75 cl', 'Giffard Grenadine syrup'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","[['6 cl', 'gin'], ['1.5 cl', 'apricot brandy liqueur'], ['0.75 cl', 'giffard grenadine syrup'], ['1.5 cl', 'chilled water']]"
Bermuda Rum Swizzle,Collins glass,Pineapple wedge & Luxardo Maraschino cherry,POUR ingredients into glass and two-thirds fill with crushed ice. SWIZZLE with a swizzle stick or CHURN (stir) with a bar spoon. Fill glass with more crushed ice and repeat. Serve with straws.,"[['3 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'Dark/black/blackstrap rum'], ['2.25 cl', ""Difford's Falernum liqueur""], ['3 cl', 'Pineapple juice (fresh pressed)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', 'Angostura Aromatic Bitters']]","[['3 cl', 'white rum'], ['3 cl', 'dark rum'], ['2.25 cl', 'falernum liqueur'], ['3 cl', 'pineapple juice'], ['3 cl', 'orange juice'], ['1.5 cl', 'grapefruit juice'], ['1.5 cl', 'lime juice'], ['0.75 cl', 'lemon juice'], ['2 dash', 'angostura']]"
